Error X;Error Y;Error Fijacion X;Error Fijacion Y
-5.25082;-5.51216;-2.05491;3.11315
5.10495;-0.68013;-1.45022;1.71270
5.68966;-2.08628;9.08827;0.04328
2.62556;2.66488;5.95952;-2.74168
3.70627;4.80066;3.18216;3.52123
2.38381;-3.63561;-2.77049;9.87382
6.88713;-1.01716;2.64524;-2.24444
4.58208;-1.44064;11.23589;9.64236
5.75937;-2.67106;4.45277;-1.57358
15.17991;0.33388;4.52811;-2.02185
11.08133;-1.02377;11.35120;0.34934
5.72339;1.71270;10.26612;3.44037
3.70502;7.93034;5.66436;1.96002
4.80697;-3.08533;2.99944;8.81760
10.51787;3.19926;7.18235;2.05585
4.85757;-1.81781;9.07296;3.28582
1.59701;5.24629;5.02343;0.52556
3.54198;-1.61995;13.48794;2.39283
4.28411;-3.29678;3.93272;-1.31080
2.65367;-0.15458;4.44434;-3.25969
2.54123;6.14468;4.49775;1.73124
3.83433;-1.92292;5.28205;15.09769
6.82971;3.32152;5.70933;2.43611
3.95802;-3.41303;7.45096;2.91962
1.96889;1.14386;3.08096;-1.89819
3.35645;0.92745;-11.84483;1.72506
9.34280;-0.79817;4.68891;1.55194
2.78298;-0.02473;8.69625;-1.15678
-26.66037;37.11969;0.91923;3.62016
5.59970;-23.90354;-24.67011;33.68502
5.84708;-20.37552;4.65517;-23.61913
5.85832;-4.94023;4.45840;-11.57708
1.41117;-4.92168;6.18441;-3.66962
6.72414;-1.74979;-3.23557;0.08656
1.96777;-5.96661;6.51331;0.21641
2.69303;-0.69250;2.21514;-4.20136
1.78348;2.13438;2.92354;0.24114
4.83508;-1.97857;1.36182;1.50062
6.40802;2.68399;5.55753;0.00309
1.75412;2.20734;10.28733;2.80456
