Error X;Error Y;Error Fijacion X;Error Fijacion Y
5.71242;-5.30424;-10.99929;-10.05844
6.42655;-5.80620;-6.66147;13.94417
8.74455;-8.68473;10.06860;-7.62235
5.52865;-8.54818;11.39286;-7.90365
8.42413;1.85351;5.56144;-7.58139
6.53753;-10.14857;8.14669;-2.57625
36.67901;-22.28452;7.38499;-10.16222
5.24112;-6.88224;18.53433;-11.99667
2.89245;-7.41206;5.24364;-5.10159
-4.82748;3.54490;-13.92050;-2.21215
6.24496;-9.01256;12.84302;-1.80522
8.28289;7.85449;10.82526;-15.97673
-1.01870;-8.19763;7.90960;2.28589
11.00686;8.43893;-6.36071;-13.80720
6.76856;-14.18493;15.49385;15.59974
0.64064;11.87459;13.08414;-17.77079
-16.99101;10.25421;0.92817;11.45128
7.07728;-7.77802;-7.14184;12.92517
8.87963;-3.16616;9.51120;-2.29408
7.16808;-5.31462;14.76139;-2.00819
9.58939;8.54097;5.65981;-7.69063
7.27906;-9.28556;9.50111;3.01879
23.89931;38.89544;8.13660;-9.03703
7.23366;-6.84946;22.40617;21.32661
7.39723;-4.22142;7.74818;-5.11252
13.32728;-9.69522;-3.36497;-1.34289
11.73103;-7.43937;16.14457;-9.79899
7.88438;-6.52174;18.71247;-8.21226
-0.90079;-6.82840;7.55397;-6.10662
11.74334;-5.60957;-11.76136;-8.30316
3.51090;-9.47870;12.02835;-4.38060
8.62086;2.10837;3.13004;-13.55069
-12.70655;17.00799;11.17585;16.97892
9.63983;-8.68473;-13.01174;23.88477
13.95062;-9.66299;16.07143;-9.25552
8.89831;-9.65698;17.23200;-4.29649
12.96408;5.40583;5.82627;-10.41894
9.66001;-11.26284;12.31840;8.71313
31.35213;4.80582;7.75071;-9.56959
9.60956;-5.92091;34.33589;5.63606
