coordenada x [mm],coordenada y [mm],aciertos
-99.34843583,-8.941521063,2.0
-99.34843583,8.941521063,7.5
-96.15529535,-26.53717535,5.5
-96.15529535,26.53717535,6.0
-89.87164457,-43.27990298,7.0
-89.87164457,43.27990298,6.0
-89.25,0.0,2.5
-87.29967337,-18.55611841,6.0
-87.29967337,18.55611841,7.5
-81.53393209,-36.30124539,6.0
-81.53393209,36.30124539,6.5
-78.12903273,-9.869992143,9.0
-78.12903273,9.869992143,5.5
-73.21989826,-28.98980852,5.5
-73.21989826,28.98980852,6.0
-68.25,0.0,5.0
-64.90960724,-21.09040987,9.0
-64.90960724,21.09040987,8.0
-56.48802394,-12.00690014,7.0
-56.48802394,12.00690014,7.5
-47.25,0.0,6.5
47.25,0.0,5.0
56.48802394,-12.00690014,9.5
56.48802394,12.00690014,7.0
64.90960724,-21.09040987,9.5
64.90960724,21.09040987,8.0
68.25,0.0,6.0
73.21989826,-28.98980852,6.5
73.21989826,28.98980852,7.0
78.12903273,-9.869992143,6.5
78.12903273,9.869992143,9.0
81.53393209,-36.30124539,6.5
81.53393209,36.30124539,7.0
87.29967337,-18.55611841,6.0
87.29967337,18.55611841,5.5
89.25,0.0,5.5
89.87164457,-43.27990298,9.0
89.87164457,43.27990298,7.0
96.15529535,-26.53717535,5.5
96.15529535,26.53717535,6.0
99.34843583,-8.941521063,6.5
99.34843583,8.941521063,4.5
